"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"34150","doc4489","depressed make new twitter account ufa","twitter","NOUN","Organization",311,NA,"FOX"
"34151","doc4489","depressed make new twitter account ufa","account","NOUN","Profession",311,NA,"FOX"
"34153","doc449","married children dogs lb russian blue cat total animal lover trumpsupporters maga spammersno lists","married","ADJ","Personality",2909,NA,"FOX"
"34160","doc449","married children dogs lb russian blue cat total animal lover trumpsupporters maga spammersno lists","total","ADJ","Organization",2909,NA,"FOX"
"34182","doc4491","empower train teachers heart teacher just content one","teacher","NOUN","Profession",258,NA,"FOX"
"34194","doc4492","everything ever wanted like leave will always sweetheart kind caring loving woman god made","kind","ADV","Personality",252,NA,"FOX"
"34196","doc4492","everything ever wanted like leave will always sweetheart kind caring loving woman god made","loving","ADJ","Personality",252,NA,"FOX"
"34200","doc4493","jesus follower husband father web support specialist newspring church nerd","jesus","CCONJ","Religion",766,NA,"FOX"
"34204","doc4493","jesus follower husband father web support specialist newspring church nerd","web","NOUN","Profession",766,NA,"FOX"
"34205","doc4493","jesus follower husband father web support specialist newspring church nerd","support","NOUN","Profession",766,NA,"FOX"
"34206","doc4493","jesus follower husband father web support specialist newspring church nerd","specialist","NOUN","Profession",766,NA,"FOX"
"34208","doc4493","jesus follower husband father web support specialist newspring church nerd","church","NOUN","Religion",766,NA,"FOX"
"34222","doc4494","free educational materials teachers students parents printables worksheets powerpoints images online study games","games","NOUN","Hobbies",268,NA,"FOX"
"34234","doc4496","easygoing god fearing trustworthy person","easygoing","VERB","Personality",323,NA,"FOX"
"34237","doc4496","easygoing god fearing trustworthy person","trustworthy","ADJ","Personality",323,NA,"FOX"
"34240","doc4497","historicalcrimeparanormal researcher paranormal investigator author radio presenter artist chronic illness warriorrheumatoid arthritis activist","researcher","NOUN","Profession",1815,NA,"FOX"
"34243","doc4497","historicalcrimeparanormal researcher paranormal investigator author radio presenter artist chronic illness warriorrheumatoid arthritis activist","author","NOUN","Profession",1815,NA,"FOX"
"34245","doc4497","historicalcrimeparanormal researcher paranormal investigator author radio presenter artist chronic illness warriorrheumatoid arthritis activist","presenter","NOUN","Profession",1815,NA,"FOX"
"34246","doc4497","historicalcrimeparanormal researcher paranormal investigator author radio presenter artist chronic illness warriorrheumatoid arthritis activist","artist","NOUN","Profession",1815,NA,"FOX"
"34251","doc4497","historicalcrimeparanormal researcher paranormal investigator author radio presenter artist chronic illness warriorrheumatoid arthritis activist","activist","NOUN","Profession",1815,NA,"FOX"
"34281","doc4500","education makes special","education","NOUN","Profession",509,NA,"FOX"
"34285","doc4501","personal corporate group boxing mma street survival trainer years experience","corporate","ADJ","Profession",2423,NA,"FOX"
"34287","doc4501","personal corporate group boxing mma street survival trainer years experience","boxing","VERB","Hobbies",2423,NA,"FOX"
"34290","doc4501","personal corporate group boxing mma street survival trainer years experience","survival","NOUN","Hobbies",2423,NA,"FOX"
"34293","doc4501","personal corporate group boxing mma street survival trainer years experience","experience","NOUN","Profession",2423,NA,"FOX"
"34317","doc4504","new account <U+393C><U+3E33>hood bitch<U+393C><U+3E34><U+393C><U+3E34>","account","NOUN","Profession",415,NA,"FOX"
"34331","doc4505","play hockey southnottmhc well cricket caythorpecc even worse hockey","hockey","X","Hobbies",607,NA,"FOX"
"34334","doc4505","play hockey southnottmhc well cricket caythorpecc even worse hockey","cricket","X","Hobbies",607,NA,"FOX"
"34338","doc4505","play hockey southnottmhc well cricket caythorpecc even worse hockey","hockey","NOUN","Hobbies",607,NA,"FOX"
"34339","doc4506","writer policy financial analyst politics enthusiast","writer","NOUN","Profession",536,NA,"FOX"
"34341","doc4506","writer policy financial analyst politics enthusiast","financial","ADJ","Profession",536,NA,"FOX"
