"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"4111","doc1451","christian pro life conservative god bless military police officers trumpall taken punches make lives easier","police","NOUN","Profession",878,NA,"FOX"
"4112","doc1452","hate fake news love truth follow us date news humor","humor","NOUN","Personality",278,NA,"FOX"
"4113","doc1453","proverbs mmhs football <U+393C><U+3E31>faith family footballufamgp","football","NOUN","Hobbies",915,NA,"FOX"
"4114","doc1457","resource teacher coach south iron school district","teacher","NOUN","Profession",369,NA,"FOX"
"4115","doc1457","resource teacher coach south iron school district","coach","NOUN","Profession",369,NA,"FOX"
"4116","doc1457","resource teacher coach south iron school district","school","NOUN","Profession",369,NA,"FOX"
"4117","doc1458","soldier sg mentor husband father freedom fighter","mentor","NOUN","Profession",357,NA,"FOX"
"4118","doc1462","ufufeftherainmakers ufufefrainmakersunite thegreatawakening qanon thestorm uffauffmaga support potus uffauff respect usmilitaryufaf join us dm therainmakers","support","NOUN","Profession",2509,NA,"FOX"
"4119","doc1463","god guns trump httrlife im suspended reason new account re follow pain thanx patriots follow backs","account","NOUN","Profession",485,NA,"FOX"
"4120","doc1465","serving qanons relative news spiritual support sardonic commentary asshattery extra bonus","support","NOUN","Profession",263,NA,"FOX"
"4121","doc1466","wedding portrait photographer traveler based oklahoma","photographer","NOUN","Profession",689,NA,"FOX"
"4122","doc1469","government affairs professional personal account rts endorsements","government","NOUN","Profession",900,NA,"FOX"
"4123","doc1469","government affairs professional personal account rts endorsements","affairs","NOUN","Profession",900,NA,"FOX"
"4124","doc1469","government affairs professional personal account rts endorsements","professional","ADJ","Profession",900,NA,"FOX"
"4125","doc1469","government affairs professional personal account rts endorsements","account","NOUN","Profession",900,NA,"FOX"
"4126","doc147","social media event marketing expert lurves food hockey music kids eastham ma order","social","ADJ","Profession",416,NA,"FOX"
"4127","doc147","social media event marketing expert lurves food hockey music kids eastham ma order","media","NOUN","Profession",416,NA,"FOX"
"4128","doc147","social media event marketing expert lurves food hockey music kids eastham ma order","marketing","NOUN","Profession",416,NA,"FOX"
"4129","doc147","social media event marketing expert lurves food hockey music kids eastham ma order","food","NOUN","Profession",416,NA,"FOX"
"4130","doc147","social media event marketing expert lurves food hockey music kids eastham ma order","hockey","NOUN","Hobbies",416,NA,"FOX"
"4131","doc147","social media event marketing expert lurves food hockey music kids eastham ma order","music","NOUN","Hobbies",416,NA,"FOX"
"4132","doc1476","prezike djpresidentike nyc native producer dj turntablist label boss playitsaywhat records member theimpossebulls lmsw mancity knicks fan","producer","NOUN","Profession",430,NA,"FOX"
"4133","doc1477","realtor w homesmart realty group ufe investor ufbc foodie ufeuf happy hour aficionado ufe crazy old cat lady ufbufuf","foodie","X","Personality",930,NA,"FOX"
"4134","doc1477","realtor w homesmart realty group ufe investor ufbc foodie ufeuf happy hour aficionado ufe crazy old cat lady ufbufuf","happy","ADJ","Personality",930,NA,"FOX"
"4135","doc1477","realtor w homesmart realty group ufe investor ufbc foodie ufeuf happy hour aficionado ufe crazy old cat lady ufbufuf","crazy","ADJ","Personality",930,NA,"FOX"
"4136","doc1478","historical interpreter <U+393C><U+3E35>","interpreter","NOUN","Profession",456,NA,"FOX"
"4137","doc1480","continuing strive meaningful life absurd times blues yes therapist serious siddhartha yes","therapist","VERB","Profession",398,NA,"FOX"
"4138","doc1480","continuing strive meaningful life absurd times blues yes therapist serious siddhartha yes","serious","ADJ","Personality",398,NA,"FOX"
"4139","doc1482","political enthusiast","political","ADJ","Profession",321,NA,"FOX"
"4140","doc1483","hatch visuals managing editor <U+393C><U+3E35>","editor","NOUN","Profession",867,NA,"FOX"
"4141","doc1483","urcm photographer <U+393C><U+3E35>","photographer","NOUN","Profession",867,NA,"FOX"
"4142","doc1484","legal business affairs media rights production executive proud citizen","legal","ADJ","Profession",345,NA,"FOX"
"4143","doc1484","legal business affairs media rights production executive proud citizen","business","NOUN","Profession",345,NA,"FOX"
"4144","doc1484","legal business affairs media rights production executive proud citizen","affairs","NOUN","Profession",345,NA,"FOX"
