"","doc_id","sentence","token","upos","Entity","friends_count","country","NewsChannel"
"1066","doc1111","hrc largest civil rights organization working achieve equality lgbtq americans los angeles volunteer steering committee","civil","ADJ","Profession",439,NA,"CNN"
"1076","doc1111","hrc largest civil rights organization working achieve equality lgbtq americans los angeles volunteer steering committee","volunteer","NOUN","Hobbies",439,NA,"CNN"
"1091","doc1115","international student political eye","student","NOUN","Profession",287,NA,"CNN"
"1092","doc1115","international student political eye","political","ADJ","Profession",287,NA,"CNN"
"1151","doc1123","im roads bridges buildings construction engineer general contractor js construction company inc","engineer","NOUN","Profession",2867,NA,"CNN"
"1152","doc1123","im roads bridges buildings construction engineer general contractor js construction company inc","general","ADJ","Profession",2867,NA,"CNN"
"1156","doc1123","im roads bridges buildings construction engineer general contractor js construction company inc","company","NOUN","Profession",2867,NA,"CNN"
"1180","doc1129","come join us different date different online dating site done right giving best internet dating experience web","site","NOUN","Profession",4126,NA,"CNN"
"1185","doc1129","come join us different date different online dating site done right giving best internet dating experience web","internet","NOUN","Hobbies",4126,NA,"CNN"
"1187","doc1129","come join us different date different online dating site done right giving best internet dating experience web","experience","NOUN","Profession",4126,NA,"CNN"
"1188","doc1129","come join us different date different online dating site done right giving best internet dating experience web","web","NOUN","Profession",4126,NA,"CNN"
"1189","doc113","nice guy happy meet people make new friends","nice","ADJ","Personality",894,NA,"CNN"
"1191","doc113","nice guy happy meet people make new friends","happy","ADJ","Personality",894,NA,"CNN"
"1199","doc1130","husband father lawyer following commenting law medicine politics sports music food etc","lawyer","NOUN","Profession",287,NA,"CNN"
"1204","doc1130","husband father lawyer following commenting law medicine politics sports music food etc","politics","NOUN","Hobbies",287,NA,"CNN"
"1205","doc1130","husband father lawyer following commenting law medicine politics sports music food etc","sports","NOUN","Hobbies",287,NA,"CNN"
"1206","doc1130","husband father lawyer following commenting law medicine politics sports music food etc","music","NOUN","Hobbies",287,NA,"CNN"
"1207","doc1130","husband father lawyer following commenting law medicine politics sports music food etc","food","NOUN","Profession",287,NA,"CNN"
"1212","doc1131","ultra runner daddy outdoor enthusiast","outdoor","ADJ","Profession",540,NA,"CNN"
"1216","doc1133","new twitter shit ufb old doe","twitter","NOUN","Organization",316,NA,"CNN"
"1222","doc1134","trs marketing solutions fullscale social media management company optimizing social media pages attract attention contact us info","marketing","NOUN","Profession",457,NA,"CNN"
"1225","doc1134","trs marketing solutions fullscale social media management company optimizing social media pages attract attention contact us info","social","ADJ","Profession",457,NA,"CNN"
